000205 9 103 163 313, 1
000205 30 173 212 373, 1
000205 0 107 93 235, 1
000205 221 344 348 404, 1
000205 225 287 411 372, 1
000205 256 221 391 293, 1
000205 289 160 428 250, 1
000205 473 207 606 323, 1
000205 592 271 703 361, 1
000205 577 352 696 402, 1
000205 668 104 717 198, 0
000205 195 162 297 258, 1
000205 547 107 633 173, 1
000205 469 90 574 184, 1
000205 576 45 670 132, 1
000205 177 68 257 151, 1
000205 305 98 371 157, 1
000205 262 46 319 90, 1
000205 360 54 471 123, 1
000205 425 15 505 75, 1
000205 282 0 349 49, 0
000205 77 40 172 122, 1
000636 180 28 242 99, 1
000636 478 238 562 304, 1
000636 1 114 97 249, 1
000636 127 359 238 405, 1
000506 330 113 364 145, 1
000067 448 0 640 74, 1
000067 615 0 718 79, 1
000067 302 0 390 20, 0
000067 433 52 565 141, 1
000067 277 48 406 146, 1
000067 336 114 470 235, 1
000067 557 56 718 251, 1
000067 439 109 536 267, 1
000067 203 212 419 402, 1
000067 153 239 330 402, 1
000067 136 33 239 112, 1
000067 77 232 195 373, 1
000067 0 157 112 307, 1
000067 63 105 173 186, 1
000067 95 136 255 235, 1
000067 239 102 320 172, 1
000467 356 241 414 321, 1
000467 266 120 315 178, 1
000467 53 244 131 318, 1
000467 475 205 586 319, 1
000467 141 113 206 172, 1
000467 588 37 650 112, 1
000467 276 7 315 47, 0
000663 115 98 202 184, 1
000663 299 128 340 198, 1
000663 509 136 570 209, 1
000663 117 218 190 284, 1
000663 1 294 58 355, 1
000345 297 255 445 359, 1
000345 164 290 341 403, 1
000345 160 107 253 175, 1
000345 0 195 138 347, 1
000345 312 178 513 289, 1
000345 144 169 256 272, 1
000345 0 305 170 402, 1
000345 420 26 531 105, 1
000345 426 103 568 211, 1
000345 263 107 370 187, 1
000345 302 54 402 116, 1
000345 548 111 716 261, 1
000345 565 27 717 155, 1
000345 640 1 718 56, 0
000345 516 7 590 62, 1
000345 356 0 440 60, 1
000345 200 54 294 117, 1
000345 42 148 173 220, 1
000345 12 85 113 151, 1
000648 578 255 667 313, 1
000648 451 120 501 178, 1
000648 489 95 536 145, 1
000648 298 212 356 281, 1
000648 353 182 408 251, 1
000648 227 307 296 367, 1
000648 193 338 224 368, 1
000648 165 305 214 351, 1
000094 561 263 716 403, 1
000094 128 199 231 274, 1
000094 327 195 428 287, 1
000094 686 217 717 289, 0
000094 533 126 633 188, 1
000094 434 202 531 263, 1
000094 223 102 278 143, 1
000094 176 372 266 402, 0
000094 437 243 557 365, 1
000094 635 378 719 402, 0
000094 699 297 718 360, 0
000094 554 188 665 265, 1
000094 691 67 716 132, 0
000094 260 191 333 272, 1
000094 376 88 460 154, 1
000094 37 291 163 395, 1
000094 672 147 717 212, 0
000094 416 144 501 204, 1
000094 0 232 76 291, 0
000094 90 156 193 226, 1
000094 24 133 128 227, 1
000094 275 98 361 155, 1
000075 590 0 718 113, 1
000075 687 29 718 191, 0
000075 317 21 438 113, 1
000075 471 238 718 402, 1
000075 310 178 540 403, 1
000075 306 110 442 222, 1
000075 141 217 331 404, 1
000075 2 9 74 95, 0
000075 77 11 163 59, 1
000075 448 128 561 236, 1
000075 504 15 596 162, 1
000054 633 107 718 205, 1
000054 653 271 719 401, 0
000054 425 171 681 290, 1
000054 426 92 538 196, 1
000054 277 276 658 403, 1
000054 230 231 336 307, 1
000054 353 171 483 282, 1
000054 116 221 203 391, 1
000054 259 98 316 155, 1
000054 550 51 641 121, 1
000054 199 109 268 186, 1
000054 112 135 189 185, 1
000054 299 67 409 156, 1
000054 328 42 386 88, 1
000054 228 69 282 101, 1
000054 391 32 461 82, 1
000054 145 94 205 136, 1
000054 124 176 184 235, 1
000054 248 194 390 239, 1
000054 164 261 253 403, 1
000054 392 7 453 41, 0
000054 496 53 554 91, 1
000054 523 5 590 54, 1
000054 67 194 130 270, 1
000169 164 138 291 241, 1
000169 0 302 157 402, 1
000169 394 265 678 401, 1
000169 143 250 297 383, 1
000169 474 57 614 153, 1
000169 506 154 717 294, 1
000169 301 159 434 271, 1
000169 334 91 453 167, 1
000169 702 196 716 308, 0
000169 672 69 718 206, 0
000169 560 4 708 96, 1
000169 391 15 486 90, 1
000169 227 102 314 166, 1
000169 18 220 186 344, 1
000169 0 125 94 200, 1
000169 51 41 135 98, 1
000471 41 314 114 378, 1
000471 394 249 429 287, 1
000471 371 180 401 209, 1
000471 477 242 515 276, 1
000471 458 199 483 227, 1
000381 90 150 155 205, 1
000381 193 25 225 56, 1
000383 548 21 643 60, 1
000383 421 25 472 63, 1
000383 211 285 303 330, 1
000383 1 237 43 277, 1
000383 109 46 152 114, 1
000515 47 230 153 327, 1
000515 143 7 192 54, 1
000515 133 132 166 200, 1
000515 110 61 144 131, 1
000179 435 79 581 205, 1
000179 388 248 712 400, 1
000179 510 188 700 345, 1
000179 587 92 717 204, 1
000179 558 16 710 103, 1
000179 407 54 521 128, 1
000179 310 193 522 387, 1
000179 105 93 250 198, 1
000179 133 26 217 80, 1
000179 34 58 118 112, 1
000179 6 67 112 180, 1
000148 514 89 713 400, 1
000148 307 168 430 280, 1
000148 277 257 451 402, 1
000148 390 71 538 159, 1
000511 521 322 589 380, 1
000511 71 166 136 215, 1
000511 453 75 495 114, 1
000511 665 79 703 119, 0
000511 537 22 576 57, 1
000511 578 17 612 49, 0
000511 435 7 465 34, 0
000511 479 262 541 290, 1
000511 484 292 550 319, 1
000036 251 93 320 153, 1
000036 614 156 701 219, 1
000036 300 339 428 404, 1
000036 631 93 707 173, 1
000036 381 298 576 402, 1
000036 332 189 479 291, 1
000036 260 157 335 220, 1
000036 559 155 635 267, 1
000036 396 136 558 215, 1
000036 179 193 279 345, 1
000036 113 308 213 403, 1
000036 662 275 718 404, 0
000036 579 53 667 109, 1
000036 494 90 578 173, 1
000036 131 183 210 249, 1
000036 0 299 130 403, 1
000036 50 101 249 181, 1
000036 130 63 202 127, 1
000036 63 216 234 311, 1
